Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"Assembly-CSharp.dll!::ScoreService.SaveCurrentRun()";10.2846;10.2846;10.2846;25904;25904;25904;16;16;10.2846002578735;10.2846;10.2846;10.2846;1;1;1;1;1;25904;10.2846;10.2846;25904;25904;0
"Assembly-CSharp.dll!::ScoreService.SaveScore()";10.1524;10.1524;10.1524;25904;25904;25904;17;17;10.1524000167847;10.1524;10.1524;10.1524;1;1;1;1;1;25904;10.1524;10.1524;25904;25904;0
"Newtonsoft.Json.dll!Newtonsoft.Json.Serialization::JsonSerializerInternalWriter.SerializeObject()";10.0517;10.0517;10.0517;25904;25904;25904;26;31;10.0516986846924;10.0517;10.0517;10.0517;15;15;15;15;1;25904;0.0349;8.465;25904;25904;0
"Assembly-CSharp.dll!::MetaProgressService.AddCrystals()";9.5286;9.5286;9.5286;25904;25904;25904;16;17;9.52859973907471;9.5286;9.5286;9.5286;2;2;2;2;1;25904;2.653;6.8756;25904;25904;0
"Assembly-CSharp.dll!::MetaProgressService.Save()";9.5263;9.5263;9.5263;25904;25904;25904;17;18;9.52630043029785;9.5263;9.5263;9.5263;2;2;2;2;1;25904;2.6516;6.8747;25904;25904;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::GroupOperation.Destroy()";9.4215;9.4215;9.4215;26017;26017;26017;18;18;9.42150020599365;9.4215;9.4215;9.4215;1;1;1;1;1;26017;9.4215;9.4215;26017;26017;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::GroupOperation.ReleaseDependencies()";9.421;9.421;9.421;26017;26017;26017;19;19;9.42099952697754;9.421;9.421;9.421;1;1;1;1;1;26017;9.421;9.421;26017;26017;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::AsyncOperationHandle.Release()";9.418501;9.418501;9.418501;26017;26017;26017;16;20;9.41850090026855;9.418501;9.418501;9.418501;4;4;4;4;1;26017;0.0158;9.3465;26017;26017;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.AsyncOperations::AsyncOperationBase`1.UnityEngine.ResourceManagement.AsyncOperations.IAsyncOperation.DecrementReferenceCount()";9.398801;9.398801;9.398801;26017;26017;26017;17;21;9.39880084991455;9.398801;9.398801;9.398801;4;4;4;4;1;26017;0.0031;9.3408;26017;26017;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.ResourceProviders::AssetBundleProvider.Release()";9.048901;9.048901;9.048901;26017;26017;26017;24;24;9.04890060424805;9.048901;9.048901;9.048901;3;3;3;3;1;26017;0.0164;9.0091;26017;26017;0
"Unity.ResourceManager.dll!UnityEngine.ResourceManagement.ResourceProviders::AssetBundleResource.Unload()";8.8559;8.8559;8.8559;26017;26017;26017;25;25;8.85589981079102;8.8559;8.8559;8.8559;3;3;3;3;1;26017;0.0139;8.8238;26017;26017;0
