Name; Median Time; Min Time; Max Time; Median Frame Index; Min Frame Index; Max Frame Index; Min Depth; Max Depth; Total Time; Mean Time; Time Lower Quartile; Time Upper Quartile; Count Total; Count Median; Count Min; Count Max; Number of frames containing Marker; First Frame Index; Time Min Individual; Time Max Individual; Min Individual Frame; Max Individual Frame; Time at Median Frame
"UnityEngine.IMGUIModule.dll!UnityEngine::GUIUtility.BeginGUI() [Invoke]";0.0838;0.0596;0.446;79065;79190;79498;4;5;59.7898996397853;0.09356792;0.0718;0.1017;1282;2;2;4;639;79030;0.0092;0.3898;79650;79498;0
"Assembly-CSharp.dll!::WaveSystem.OnDestroy() [Invoke]";0.0798;0.0798;0.0798;79669;79669;79669;11;11;0.0798000022768974;0.0798;0.0798;0.0798;1;1;1;1;1;79669;0.0798;0.0798;79669;79669;0
"UnityEngine.UI.dll!UnityEngine.UI::Selectable.OnDisable() [Invoke]";0.0798;0.0798;0.0798;79669;79669;79669;13;13;0.0798000022768974;0.0798;0.0798;0.0798;9;9;9;9;1;79669;0.0003;0.0642;79669;79669;0
"Assembly-CSharp.dll!::TitleFlow.Awake() [Invoke]";0.0713;0.0713;0.0713;79669;79669;79669;11;11;0.0712999999523163;0.0713;0.0713;0.0713;1;1;1;1;1;79669;0.0713;0.0713;79669;79669;0
"GC.Alloc";0.07;0.0196;23.01274;79299;79800;79112;5;15;77.1579175144434;0.1199968;0.0615;0.07910001;11458;6;1;6371;643;79030;0.0028;1.4239;79112;79669;0
"ExecuteRenderQueueJob";0.0691;0.0037;0.3224;79186;79705;79480;8;8;49.2211999164429;0.07503232;0.0583;0.082;656;1;1;1;656;79030;0.0037;0.3224;79705;79480;0
"PreLateUpdate.ScriptRunBehaviourLateUpdate";0.069;0.0438;0.3776;80259;81029;79538;3;3;153.310799565166;0.0766554;0.0603;0.08;2000;1;1;1;2000;79030;0.0438;0.3776;81029;79538;0.0575
"LateBehaviourUpdate";0.0687;0.0437;0.376;79251;81029;79538;4;4;152.548099294305;0.07627405;0.0599;0.0796;2000;1;1;1;2000;79030;0.0437;0.376;81029;79538;0.0573
"Physics2D.Collider2D.DestroyShapes";0.06840005;0.0009;0.2503999;79213;79725;79106;7;14;13.5243025227683;0.07043908;0.05899999;0.08700005;17509;100;1;123;192;79031;0;0.1055;79669;79669;0
"Idle";0.0674;0.0003;0.4215;79162;79457;79066;5;8;47.9162998035026;0.07617854;0.0509;0.0876;1016;2;1;5;629;79030;0.0002;0.3982;79331;79538;0
"Profiler.Callstack";0.0665;0.0191;22.06137;79360;79800;79112;6;16;73.8870714940131;0.1149099;0.0586;0.0758;11458;6;1;6371;643;79030;0.0026;1.4231;79112;79669;0
"Assembly-CSharp.dll!::Pathfinder.ShowPath() [Invoke]";0.0662;0.0662;0.0662;79483;79483;79483;5;5;0.066200003027916;0.0662;0.0662;0.0662;1;1;1;1;1;79483;0.0662;0.0662;79483;79483;0
"Physics2D.Collider2D.CreateShapes";0.06580001;0.0024;0.1703999;79193;79695;79106;7;7;12.4344021794386;0.06476251;0.06030001;0.07180003;17355;100;1;117;192;79031;0.0004;0.0328;79031;79344;0
"UnityEngine.UI.dll!UnityEngine.EventSystems::EventSystem.Update() [Invoke]";0.0645;0.0158;0.6405;79241;81025;79668;5;5;138.020199470222;0.0690101;0.0404;0.0845;2000;1;1;1;2000;79030;0.0158;0.6405;81025;79668;0.0352
"SpriteRenderer.PrepareNode";0.0638;0.0031;0.3037;79541;79705;79480;7;9;46.0220997554716;0.06962496;0.0535;0.0769;2266;3;1;18;661;79030;0.0001;0.2698;79060;79480;0
"Loading.CheckConsistency [Editor Only]";0.0618;0.0618;0.0618;79669;79669;79669;9;10;0.0617999956011772;0.0618;0.0618;0.0618;154;154;154;154;1;79669;0;0.0058;79669;79669;0
"TMP GenerateText - Phase I";0.0602;0.0208;0.3184;79093;79230;79126;8;10;13.2381000649184;0.0612875;0.0417;0.067;897;5;1;10;216;79030;0.0051;0.1691;79057;79126;0
"Assembly-CSharp.dll!::TowerWeapon.OnDestroy() [Invoke]";0.0563;0.0563;0.0563;79669;79669;79669;11;11;0.0562999956309795;0.0563;0.0563;0.0563;77;77;77;77;1;79669;0.0001;0.0064;79669;79669;0
"Culling";0.0553;0.0321;0.5751;80756;80392;79238;4;4;127.14509960264;0.06357255;0.0436;0.0717;2001;1;1;2;2000;79030;0.0321;0.5751;80392;79238;0.1189
"TMP Parse Text";0.0542;0.0193;0.4633;79102;79237;79669;7;9;12.7886999174953;0.05920694;0.0373;0.0649;898;5;1;10;216;79030;0.0061;0.1211;79057;79669;0
"EnlightenRuntimeManager.SyncRuntimeData";0.0485;0.0485;0.0485;79669;79669;79669;12;13;0.0485000014305115;0.0485;0.0485;0.0485;2;2;2;2;1;79669;0.0231;0.0254;79669;79669;0
"GameObject.Activate";0.0482;0.008;0.0884;79034;79031;79112;7;9;0.308899992145598;0.05148333;0.0269;0.0522;8;1;1;2;6;79031;0.001;0.0884;79034;79112;0
"FindObjectsOfType";0.0458;0.0458;0.0458;79669;79669;79669;9;11;0.0458000004291534;0.0458;0.0458;0.0458;10;10;10;10;1;79669;0.0002;0.0169;79669;79669;0
"PostLateUpdate.PlayerUpdateCanvases";0.0418;0.0213;1.5585;79877;79615;79669;3;3;153.534699322656;0.07676735;0.0366;0.0524;2000;1;1;1;2000;79030;0.0213;1.5585;79615;79669;0.0365
"UIEvents.WillRenderCanvases";0.0401;0.0194;1.5516;79833;79615;79669;4;4;149.288199525326;0.0746441;0.0351;0.0504;2000;1;1;1;2000;79030;0.0194;1.5516;79615;79669;0.0348
"UGUI.Rendering.UpdateBatches";0.0399;0.0192;1.5514;80665;79615;79669;5;5;148.944599168375;0.0744723;0.0349;0.0502;2000;1;1;1;2000;79030;0.0192;1.5514;79615;79669;0.0346
"Assembly-CSharp.dll!::Projectile.ReleaseMiss() [Invoke]";0.0399;0.0248;0.1163;79387;79119;79181;5;5;0.273599995300174;0.0684;0.0248;0.0926;9;2;1;4;4;79119;0.0184;0.0744;79350;79181;0
